"","lng","lat","facname","facdomain","borocd"
"73",-73.905816,40.818766,"Ms 298","Education, Child Welfare, and Youth",201
"74",-73.932459,40.809867,"City Owned Property","Administration of Government",201
"75",-73.912089,40.820468,"Rincon Criollo Garden","Parks, Gardens, and Historical Sites",201
"76",-73.926041,40.808236,"P.S. 154 Jonathan D Hyatt","Education, Child Welfare, and Youth",201
"77",-73.925582,40.808941,"East Side House","Education, Child Welfare, and Youth",201
"78",-73.924218,40.817575,"P754x At Lincoln Hospital","Education, Child Welfare, and Youth",201
"79",-73.91845,40.810208,"International Communtiy High School","Education, Child Welfare, and Youth",201
"80",-73.91224,40.815498,"Jhs 162 Lola Rodriguez De Tio (X162)","Education, Child Welfare, and Youth",201
"81",-73.910319,40.808924,"A House On Beekman, Inc.","Education, Child Welfare, and Youth",201
"82",-73.917665,40.821716,"Presbyterian Senior Services","Health and Human Services",201
"83",-73.919968,40.815087,"Third Avenue Imaging LLC","Health and Human Services",201
"84",-73.91041,40.803387,"Montefiore Medical Center - Wellness Center at Port Morris","Health and Human Services",201
"85",-73.916728,40.82307,"811 Family and Friends Garden","Parks, Gardens, and Historical Sites",201
"86",-73.91359,40.818745,"Bronx Business Center","Administration of Government",201
"87",-73.916815,40.821559,"PS 29 & Playground","Parks, Gardens, and Historical Sites",201
"88",-73.906753,40.816554,"Cmcs/Anna Lefkowitz DCC","Education, Child Welfare, and Youth",201
"89",-73.920885,40.806312,"Safe Care","Education, Child Welfare, and Youth",201
"90",-73.928673,40.812522,"D&M Towing Corp.","Core Infrastructure and Transportation",201
"91",-73.920079,40.809207,"The Vida Bogart School For All Children","Education, Child Welfare, and Youth",201
"92",-73.911522,40.818132,"Mott Haven Village Preparatory High School","Education, Child Welfare, and Youth",201
"93",-73.90466,40.820077,"The Elizabeth L. Sturz Outpatient Ctr","Health and Human Services",201
"94",-73.923394,40.810763,"PS 49 Playground (Jop)","Parks, Gardens, and Historical Sites",201
"95",-73.914038,40.821828,"Family Group Garden","Parks, Gardens, and Historical Sites",201
"96",-73.925778,40.808259,"Y After School At PS 154","Education, Child Welfare, and Youth",201
"97",-73.9037,40.815389,"Eng 73, Lad 42 Parking","Administration of Government",201
"98",-73.91229,40.814956,"Hostos-Lincoln Academy Of Science","Education, Child Welfare, and Youth",201
"99",-73.918671,40.818012,"Bronx Documentary Center","Libraries and Cultural Programs",201
"100",-73.915202,40.806354,"St. Luke School","Health and Human Services",201
"101",-73.909358,40.811063,"Academic Leadership Charter School","Education, Child Welfare, and Youth",201
"102",-73.924737,40.813682,"Patterson","Health and Human Services",201
"103",-73.918001,40.821021,"Melrose","Health and Human Services",201
"104",-73.916644,40.817953,"South Bronx Community Center","Education, Child Welfare, and Youth",201
"105",-73.924375,40.811628,"Mott Haven","Libraries and Cultural Programs",201
"106",-73.922972,40.810241,"P.S. 049 Willis Avenue","Education, Child Welfare, and Youth",201
"107",-73.915949,40.819663,"Excel Career Training School, Inc.","Education, Child Welfare, and Youth",201
"108",-73.907272,40.814616,"Ramon Velez Recovery Center OP","Health and Human Services",201
"109",-73.930038,40.808228,"Liverpool Carting Co. Inc.","Core Infrastructure and Transportation",201
"110",-73.916968,40.80784,"St. Benedict The Moor Neighborhood","Education, Child Welfare, and Youth",201
"111",-73.907861,40.815277,"Bronxworks Inc.","Education, Child Welfare, and Youth",201
"112",-73.921968,40.806768,"Wanaqua Garden","Parks, Gardens, and Historical Sites",201
"113",-73.924478,40.816758,"Lincoln Medical/Ment Hlth Ctr","Administration of Government",201
"114",-73.925435,40.808943,"Winifred Wheeler Day Care","Education, Child Welfare, and Youth",201
"115",-73.924502,40.817061,"Consultation Liaison","Health and Human Services",201
"116",-73.909036,40.820901,"New Life School (The)","Education, Child Welfare, and Youth",201
"117",-73.908172,40.809657,"Quest Haulage Corp.","Core Infrastructure and Transportation",201
"118",-73.918884,40.809357,"Brook Park","Parks, Gardens, and Historical Sites",201
"119",-73.909479,40.820351,"Eagle Parking Garage Inc","Core Infrastructure and Transportation",201
"120",-73.915606,40.800466,"Dos Bronx 1,3 & 4 Garages","Administration of Government",201
"121",-73.905332,40.818869,"Jill Chaifetz Transfer High School","Education, Child Welfare, and Youth",201
"122",-73.917665,40.821716,"Jackson","Health and Human Services",201
"123",-73.925079,40.807822,"Lozada Playground","Parks, Gardens, and Historical Sites",201
"124",-73.921703,40.808926,"New York City Montessori Charter School","Education, Child Welfare, and Youth",201
"125",-73.913653,40.803875,"Abel Automotive Towing Corp","Core Infrastructure and Transportation",201
"126",-73.922285,40.815783,"Patterson Playground","Parks, Gardens, and Historical Sites",201
"127",-73.915968,40.820703,"Police Service Area #7","Public Safety, Emergency Services, and Administration of Justice",201
"128",-73.919621,40.815552,"Pinos Jr, Florencio A","Core Infrastructure and Transportation",201
"129",-73.905332,40.818869,"P.S. X017","Education, Child Welfare, and Youth",201
"130",-73.924502,40.817061,"Lincoln Medical/Ment Hlth Ctr","Administration of Government",201
"131",-73.918437,40.816034,"BX Assisted Competitve Employment","Health and Human Services",201
"132",-73.923414,40.810455,"Irt Substation #43","Core Infrastructure and Transportation",201
"133",-73.9056,40.8162,"St. Anselm's Roman Catholic Church Complex","Parks, Gardens, and Historical Sites",201
"134",-73.905332,40.818869,"South Bronx Community Action Theatre","Libraries and Cultural Programs",201
"135",-73.920079,40.809207,"PS 179","Education, Child Welfare, and Youth",201
"136",-73.920885,40.806312,"New York Foundling Bronx Community Services","Education, Child Welfare, and Youth",201
"137",-73.902988,40.819287,"The Osborne Association","Health and Human Services",201
"138",-73.920536,40.813277,"The Laboratory School Of Finance And Technology: X223","Education, Child Welfare, and Youth",201
"139",-73.919694,40.815927,"Wilson Allen Health Careers Institut","Education, Child Welfare, and Youth",201
"140",-73.914771,40.813907,"Way Out Church Ministries Inc.","Health and Human Services",201
"141",-73.920145,40.80944,"P.S. 179","Education, Child Welfare, and Youth",201
"142",-73.927632,40.810543,"Graham Square Park","Parks, Gardens, and Historical Sites",201
"143",-73.909092,40.819281,"PS 157 & Playground (Jop)","Parks, Gardens, and Historical Sites",201
"144",-73.919783,40.816006,"Boys To Men","Education, Child Welfare, and Youth",201
"145",-73.908775,40.814953,"Sunshine Learning Center","Education, Child Welfare, and Youth",201
"146",-73.917796,40.81487,"Sheltering Arms Children And Family Services, Inc.","Education, Child Welfare, and Youth",201
"147",-73.913747,40.818416,"VNS - Geriatric MH - Bronx - Non Medicaid CC","Health and Human Services",201
"148",-73.904431,40.817439,"Give Them To Eat","Health and Human Services",201
"149",-73.91759,40.809125,"American Dream Charter School","Education, Child Welfare, and Youth",201
"150",-73.920536,40.813277,"South Bronx Preparatory: A College Board School","Education, Child Welfare, and Youth",201
"151",-73.918824,40.806759,"Tender Tots Child Care Center","Education, Child Welfare, and Youth",201
"152",-73.908644,40.813606,"P.S. 5 Port Morris","Education, Child Welfare, and Youth",201
"153",-73.922837,40.805554,"Door of Salvation Ministries","Health and Human Services",201
"154",-73.912157,40.818124,"South Bronx High School","Parks, Gardens, and Historical Sites",201
"155",-73.917221,40.809092,"American Dream Charter School","Education, Child Welfare, and Youth",201
"156",-73.909976,40.820258,"Brightside Academy - St. Ann's","Education, Child Welfare, and Youth",201
"157",-73.90955,40.801436,"Parallel Products of New England Inc","Core Infrastructure and Transportation",201
"158",-73.9083,40.799426,"Port Morris Ferry Bridges","Parks, Gardens, and Historical Sites",201
"159",-73.9189,40.815063,"Dollar Savings Bank","Parks, Gardens, and Historical Sites",201
"160",-73.916644,40.817953,"South Bronx Community Services Office","Health and Human Services",201
"161",-73.918027,40.815628,"Roberto Clemente Plaza","Parks, Gardens, and Historical Sites",201
"162",-73.923227,40.811508,"Alexander's Alley","Parks, Gardens, and Historical Sites",201
"163",-73.918259,40.820448,"Melrose Playground","Education, Child Welfare, and Youth",201
"164",-73.920885,40.806312,"Little Haven @ Mott Haven Academy","Health and Human Services",201
"165",-73.920932,40.814877,"Village Child Dvlpmnt Ctr","Education, Child Welfare, and Youth",201
"166",-73.907241,40.810541,"Re-Start Academy","Education, Child Welfare, and Youth",201
"167",-73.914313,40.80436,"360 Collision & Towing Inc.","Core Infrastructure and Transportation",201
"168",-73.911343,40.819051,"Bronxchester","Education, Child Welfare, and Youth",201
"169",-73.919721,40.816192,"U Drive Park Lot Corp.","Core Infrastructure and Transportation",201
"170",-73.925919,40.81372,"The Urban Assembly Bronx Academy Of Letters","Education, Child Welfare, and Youth",201
"171",-73.921358,40.806362,"USDA-CEO P017x At PS 43x","Education, Child Welfare, and Youth",201
"172",-73.923907,40.804675,"Willis Ave & Bridge Ramp","Administration of Government",201
"173",-73.918603,40.805931,"Millbrook","Health and Human Services",201
"174",-73.913747,40.818416,"Mobile Crisis Management - Bronx","Health and Human Services",201
"175",-73.907597,40.810511,"New Visions Charter High School For The Humanities II","Education, Child Welfare, and Youth",201
"176",-73.930752,40.808815,"Sauti Yetu Center For African Women And Families","Health and Human Services",201
"177",-73.917394,40.80789,"Padre Plaza","Parks, Gardens, and Historical Sites",201
"178",-73.91205,40.814736,"Hostos-Lincoln Academy Of Science","Education, Child Welfare, and Youth",201
"179",-73.919114,40.815891,"369 East 148th St","Health and Human Services",201
"180",-73.91152,40.815697,"Granja Farm OTF","Parks, Gardens, and Historical Sites",201
"181",-73.921279,40.812792,"East Side House","Education, Child Welfare, and Youth",201
"182",-73.924539,40.818292,"Bpg 149th M LLC","Core Infrastructure and Transportation",201
"183",-73.910432,40.808873,"A House On Beekman Preschool","Education, Child Welfare, and Youth",201
"184",-73.925538,40.815621,"Brightpoint Health","Health and Human Services",201
"185",-73.913747,40.818416,"Promise Zone School Program Co-Located with Clinic Teatment","Health and Human Services",201
"186",-73.916689,40.816134,"NYC Business Solutions Industrial and Transportation - Bronx","Health and Human Services",201
"187",-73.902805,40.81763,"Transfiguration Lutheran Church","Health and Human Services",201
"188",-73.917722,40.816999,"Immaculate Conception Church","Education, Child Welfare, and Youth",201
"189",-73.904198,40.813984,"United Bronx Parents, Inc.","Health and Human Services",201
"190",-73.917019,40.821399,"P.S. / M.S. 029 Melrose School","Education, Child Welfare, and Youth",201
"191",-73.911183,40.81832,"Lyfe Program A University Heights Se","Education, Child Welfare, and Youth",201
"192",-73.919386,40.81269,"Dr Katharine Dodge Brownell School","Education, Child Welfare, and Youth",201
"193",-73.925777,40.809172,"Mitchel Center - ELEM.","Education, Child Welfare, and Youth",201
"194",-73.915525,40.820287,"Eng 71, Lad 55, Div 6","Public Safety, Emergency Services, and Administration of Justice",201
"195",-73.914108,40.812178,"St. Marys Summer Sport Experience","Education, Child Welfare, and Youth",201
"196",-73.925435,40.808943,"Mitchel","Health and Human Services",201
"197",-73.91291,40.806469,"NYCHA Youth Build","Education, Child Welfare, and Youth",201
"198",-73.909092,40.819281,"P.S. 157 Grove Hill","Education, Child Welfare, and Youth",201
"199",-73.909816,40.820738,"Ace's I, Inc","Core Infrastructure and Transportation",201
"200",-73.922656,40.810346,"East Side House, LLC","Education, Child Welfare, and Youth",201
"201",-73.917802,40.814116,"The Door - Bronx Youth Center","Education, Child Welfare, and Youth",201
"202",-73.919345,40.814535,"Narco Freedom Inc","Health and Human Services",201
"203",-73.915164,40.812761,"NYCHA Betances","Education, Child Welfare, and Youth",201
"204",-73.925755,40.813352,"Bronx HS Of Letters","Education, Child Welfare, and Youth",201
"205",-73.929981,40.815788,"Health Opportunities High School","Education, Child Welfare, and Youth",201
"206",-73.91553,40.805366,"United We Stand Garden","Parks, Gardens, and Historical Sites",201
"207",-73.923394,40.810763,"PS 49 Playground (Jop)","Parks, Gardens, and Historical Sites",201
"208",-73.91359,40.818745,"Bronx Business Center","Administration of Government",201
"209",-73.916312,40.807427,"South Bronx Charter School","Education, Child Welfare, and Youth",201
"210",-73.909358,40.811063,"Jhs 155 & Playground","Education, Child Welfare, and Youth",201
"211",-73.91817,40.81637,"Cudley's Training Program, Inc.","Education, Child Welfare, and Youth",201
"212",-73.919397,40.814904,"Samaritan Community Counseling Center","Health and Human Services",201
"213",-73.916554,40.814901,"New York Child Resource Center, Inc.","Education, Child Welfare, and Youth",201
"214",-73.91571,40.805441,"United We Stand Garden","Parks, Gardens, and Historical Sites",201
"215",-73.923629,40.808109,"Mitchell Center","Education, Child Welfare, and Youth",201
"216",-73.908932,40.820068,"PS 157 Plaground","Parks, Gardens, and Historical Sites",201
"217",-73.924845,40.815312,"Lm Parking Corp","Core Infrastructure and Transportation",201
"218",-73.916258,40.814751,"Girls And Boys Preparatory Charter School Of The Bronx","Education, Child Welfare, and Youth",201
"219",-73.917034,40.808501,"St. Ann's Church of Morrisania","Health and Human Services",201
"220",-73.920985,40.81117,"Abraham House After School Program","Education, Child Welfare, and Youth",201
"221",-73.91784,40.814931,"Episcopal Social Services Head Start ( Paul's House )","Education, Child Welfare, and Youth",201
"222",-73.925778,40.808259,"South Bronx Classical Charter School II","Education, Child Welfare, and Youth",201
"223",-73.92512,40.811483,"Family Life Academy Charter Sch II","Education, Child Welfare, and Youth",201
"224",-73.9075,40.816901,"Jackson Avenue Subway Station (IRT)","Parks, Gardens, and Historical Sites",201
"225",-73.92204,40.820708,"Sam Dar Enterprises Inc","Core Infrastructure and Transportation",201
"226",-73.917665,40.821716,"Presbyterian Senior Services","Health and Human Services",201
"227",-73.911522,40.818132,"South Bronx Campus","Health and Human Services",201
"228",-73.910524,40.821847,"St. Peter And Paul Parochial Elementary School","Education, Child Welfare, and Youth",201
"229",-73.920332,40.821608,"Melrose","Health and Human Services",201
"230",-73.918851,40.806752,"Tender Tot's East 137th Street","Education, Child Welfare, and Youth",201
"231",-73.925851,40.816141,"Deeper Life Bible Church","Education, Child Welfare, and Youth",201
"232",-73.920157,40.817243,"Squad 41","Public Safety, Emergency Services, and Administration of Justice",201
"233",-73.917028,40.802768,"134th Street Playground","Parks, Gardens, and Historical Sites",201
"234",-73.91691,40.815372,"B.Y.M Community Parking Lot Corp.","Core Infrastructure and Transportation",201
"235",-73.925919,40.81372,"P.S. 168","Education, Child Welfare, and Youth",201
"236",-73.915788,40.810137,"Rec Ctr at Belvis Diagnostic & TC OP","Health and Human Services",201
"237",-73.922066,40.806491,"Peoples Park Exchange","Parks, Gardens, and Historical Sites",201
"238",-73.922875,40.816474,"P.S. 018 John Peter Zenger","Education, Child Welfare, and Youth",201
"239",-73.91913,40.805468,"Millbrook","Health and Human Services",201
"240",-73.925538,40.815621,"Momentum Project Inc. @ St. Peter's Church","Health and Human Services",201
"241",-73.906933,40.817934,"Captain Rivera Playground","Parks, Gardens, and Historical Sites",201
"242",-73.902694,40.80596,"Tilcon New York Inc","Core Infrastructure and Transportation",201
"243",-73.91691,40.815372,"Bronx Parking Lot LLC","Core Infrastructure and Transportation",201
"244",-73.929069,40.813899,"Sweet Mary Parking Corp.","Core Infrastructure and Transportation",201
"245",-73.924967,40.81473,"Bronx Health Center","Health and Human Services",201
"246",-73.914108,40.81146,"St Marys Play Camp","Education, Child Welfare, and Youth",201
"247",-73.925841,40.808044,"South Bronx Classical Charter II","Education, Child Welfare, and Youth",201
"248",-73.910505,40.803403,"Wellness Center at Port Morris OTP","Health and Human Services",201
"249",-73.907887,40.813272,"Cardinal Mccloskey Community Services","Education, Child Welfare, and Youth",201
"250",-73.915397,40.812728,"Betances Site Iv","Health and Human Services",201
"251",-73.919248,40.819233,"PS 1x","Education, Child Welfare, and Youth",201
"252",-73.915788,40.810137,"Segundo Ruiz Belvis D&Tc","Health and Human Services",201
"253",-73.924428,40.808484,"NYCHA-Mitchell","Education, Child Welfare, and Youth",201
"254",-73.922034,40.810882,"Willis Playground","Parks, Gardens, and Historical Sites",201
"255",-73.91845,40.810208,"International Community High School","Health and Human Services",201
"256",-73.921557,40.806381,"P.S. 043 Jonas Bronck","Education, Child Welfare, and Youth",201
"257",-73.912209,40.803026,"Willow Ave Residence","Education, Child Welfare, and Youth",201
"258",-73.915653,40.815037,"Bronx Community Pride Center","Education, Child Welfare, and Youth",201
"259",-73.925083,40.807806,"Pfc Lozada Playground","Education, Child Welfare, and Youth",201
"260",-73.912813,40.80765,"Academic Leadership Charter School","Education, Child Welfare, and Youth",201
"261",-73.919954,40.812676,"Bronx Charter School For Children","Education, Child Welfare, and Youth",201
"262",-73.919051,40.802811,"Bronx Grit Chamber","Core Infrastructure and Transportation",201
"263",-73.92204,40.820708,"Fdd Enterprises Inc.","Core Infrastructure and Transportation",201
"264",-73.932239,40.812648,"Guardian Transport Co","Administration of Government",201
"265",-73.920348,40.81692,"Sobro Ctr For Cancer Development The","Education, Child Welfare, and Youth",201
"266",-73.90436,40.817614,"Bronx Spanish Church","Education, Child Welfare, and Youth",201
"267",-73.917732,40.818245,"East 152nd Street-Courtlandt Avenue","Health and Human Services",201
"268",-73.923269,40.815432,"East Side Settlement  House Head Start/ Day Care","Education, Child Welfare, and Youth",201
"269",-73.922674,40.811365,"Willis Playground","Education, Child Welfare, and Youth",201
"270",-73.914745,40.802589,"NYsarc, Inc., NYC Chapter","Core Infrastructure and Transportation",201
"271",-73.918001,40.821021,"Melrose","Health and Human Services",201
"272",-73.920031,40.81721,"Squad 41 Parking","Administration of Government",201
"273",-73.919638,40.813231,"Legacy College Preparatory Charter","Education, Child Welfare, and Youth",201
"274",-73.917903,40.811044,"South Bronx Head Start I","Education, Child Welfare, and Youth",201
"275",-73.906753,40.816554,"Adams","Health and Human Services",201
"276",-73.915184,40.815524,"Propark America New York, LLC","Core Infrastructure and Transportation",201
"277",-73.913934,40.81553,"Horizon Juvj Ctr/NYPD 40th Pct","Public Safety, Emergency Services, and Administration of Justice",201
"278",-73.91771,40.809244,"P.S. 030 Wilton","Education, Child Welfare, and Youth",201
"279",-73.929069,40.813899,"Bonanza Auto & Tire Repair Inc","Core Infrastructure and Transportation",201
"280",-73.924752,40.810998,"Dominican Sisters Family Health Services","Education, Child Welfare, and Youth",201
"281",-73.904874,40.81051,"City Owned Property","Administration of Government",201
"282",-73.91205,40.814736,"Jhs 162 Lola Rodriguez De Tio","Education, Child Welfare, and Youth",201
"283",-73.923078,40.812383,"NYCHA-Mott Haven","Education, Child Welfare, and Youth",201
"284",-73.905627,40.813624,"El Flamboyan Garden","Parks, Gardens, and Historical Sites",201
"285",-73.91359,40.818745,"Mp Hub Parking LLC","Core Infrastructure and Transportation",201
"286",-73.906265,40.820744,"Argus Career Training Institute","Education, Child Welfare, and Youth",201
"287",-73.911522,40.818132,"University Heights Secondary School","Education, Child Welfare, and Youth",201
"288",-73.916388,40.807396,"South Bronx Charter School-Annex","Education, Child Welfare, and Youth",201
"289",-73.930038,40.808228,"Liverpool Carting Co., Inc.","Core Infrastructure and Transportation",201
"290",-73.903743,40.815268,"Eng 73, Lad 42, Bat 26","Public Safety, Emergency Services, and Administration of Justice",201
"291",-73.911199,40.817225,"St. Ann's Block Association Garden","Parks, Gardens, and Historical Sites",201
"292",-73.929496,40.807212,"Bronx Workforce1 Industrial & Transportation Career Center","Health and Human Services",201
"293",-73.907597,40.810511,"H.E.R.O. High (Health, Education, And Research Occupations High School)","Education, Child Welfare, and Youth",201
"294",-73.929981,40.815788,"Health Opportunities High School","Health and Human Services",201
"295",-73.92271,40.810064,"USDA-CEO P723x At PS 49x","Education, Child Welfare, and Youth",201
"296",-73.911913,40.8031,"Willow Avenue Family Residence","Health and Human Services",201
"297",-73.91656,40.817931,"Cardinal Mccloskey School And Home For Children","Education, Child Welfare, and Youth",201
"298",-73.910125,40.806814,"NYPD Tow Pound/Old Lincoln Hos","Administration of Government",201
"299",-73.9164,40.814387,"C. Rieger's Sons Factory","Parks, Gardens, and Historical Sites",201
"300",-73.905816,40.818766,"USDA-CEO P017x At IS 296","Education, Child Welfare, and Youth",201
"301",-73.910662,40.809894,"St. Mary's Park","Parks, Gardens, and Historical Sites",201
"302",-73.907597,40.810511,"Mott Haven Community High School","Education, Child Welfare, and Youth",201
"303",-73.923227,40.811506,"Alexander Alley Park","Parks, Gardens, and Historical Sites",201
"304",-73.914404,40.815878,"Horizon Center","Education, Child Welfare, and Youth",201
"305",-73.920332,40.821608,"Melrose Houses (Bronx Classic) (2)","Education, Child Welfare, and Youth",201
"306",-73.919783,40.819008,"Alfred E. Smith Field","Parks, Gardens, and Historical Sites",201
"307",-73.916644,40.817953,"South Bronx Community Office","Education, Child Welfare, and Youth",201
"308",-73.9278,40.818241,"Mott Avenue Control House","Parks, Gardens, and Historical Sites",201
"309",-73.908936,40.799879,"Mta Cable Shop + Gantries","Core Infrastructure and Transportation",201
"310",-73.905566,40.816274,"St. Anselm School","Education, Child Welfare, and Youth",201
"311",-73.92177,40.808885,"Heketi Community Charter School","Education, Child Welfare, and Youth",201
"312",-73.919945,40.815385,"Brilla College Prep Cs-Veritas","Education, Child Welfare, and Youth",201
"313",-73.919114,40.815891,"Employment Works","Health and Human Services",201
"314",-73.919533,40.813135,"Storefront Academy Charter School - Upk","Education, Child Welfare, and Youth",201
"315",-73.916354,40.815959,"South Bronx Overall Economic Development Corp.","Education, Child Welfare, and Youth",201
"316",-73.918557,40.818057,"BX Parking, LLC.","Core Infrastructure and Transportation",201
"317",-73.909501,40.800796,"Triboro Fibers Inc","Core Infrastructure and Transportation",201
"318",-73.902988,40.819287,"Osborne Treatment Services, Inc OP","Health and Human Services",201
"319",-73.916354,40.815959,"South Bronx Overall Economic Development Corp.","Education, Child Welfare, and Youth",201
"320",-73.916201,40.814877,"Joan Ganz Cooney Early Learning Center 1","Health and Human Services",201
"321",-73.924502,40.817061,"Lincoln Medical/Ment Hlth Ctr","Health and Human Services",201
"322",-73.929334,40.807405,"WMNY LLC Harlem River Yard","Core Infrastructure and Transportation",201
"323",-73.91913,40.805468,"East Side Sett - Mill Brook","Education, Child Welfare, and Youth",201
