"","PD_DESC","OFNS_DESC","LAW_CAT_CD","AGE_GROUP","PERP_SEX","PERP_RACE","Latitude","Longitude","YEAR"
"19","SEXUAL ABUSE 3,2","SEX CRIMES","M","18-24","M","WHITE HISPANIC",40.73669807,-73.983316026,2017
"20","SEXUAL ABUSE 3,2","FORCIBLE TOUCHING","M","25-44","M","BLACK",40.679700408,-73.776047368,2017
"21","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","65+","M","WHITE HISPANIC",40.7485203690001,-73.988715858,2017
"22","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","BLACK",40.7620438930001,-73.827329581,2017
"23","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","WHITE",40.742833788,-73.998428024,2017
"24","NY STATE LAWS,UNCLASSIFIED VIOLATION","OTHER STATE LAWS","V","18-24","M","WHITE HISPANIC",40.595037877,-73.9547359859999,2017
"25","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.6706019530001,-73.8869673249999,2017
"26","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","F","WHITE",40.6047954630001,-74.084470177,2017
"27","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","WHITE",40.6918553620001,-74.000192564,2017
"28","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.7688992600001,-73.982094939,2017
"29","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","BLACK",40.851117166,-73.930603855,2017
"30","TRESPASS 2, CRIMINAL","CRIMINAL TRESPASS","M","25-44","M","BLACK HISPANIC",40.7566420420001,-73.988371577,2017
"31","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","25-44","M","BLACK",40.648650085,-73.950335563,2017
"32","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","F","WHITE",40.5478442890001,-74.220361517,2017
"33","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.757240531,-73.9897936369999,2017
"34","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","M","BLACK",40.826601817,-73.907695705,2017
"35","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","BLACK",40.6896224540001,-73.960149132,2017
"36","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","<18","M","BLACK",40.707047475,-73.792611904,2017
"37","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.798963998,-73.9503137199999,2017
"38","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","45-64","M","WHITE HISPANIC",40.6341708460001,-74.007358553,2017
"39","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","F","WHITE",40.5954421920001,-74.158739435,2017
"40","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6057481930001,-73.748554048,2017
"41","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","18-24","M","BLACK",40.715814773,-73.773923961,2017
"42","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.6846954530001,-73.9811332089999,2017
"43","MURDER,UNCLASSIFIED","MURDER & NON-NEGL. MANSLAUGHTER","F","25-44","M","BLACK",40.8377816180001,-73.919457971,2017
"44","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","45-64","M","BLACK",40.642079687,-73.9303600269999,2017
"45","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","18-24","M","BLACK",40.8103960190001,-73.9253107449999,2017
"46","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.8377816180001,-73.919457971,2017
"47","NY STATE LAWS,UNCLASSIFIED VIOLATION","OTHER STATE LAWS","V","25-44","M","BLACK",40.8677001100001,-73.921215047,2017
"48","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE",40.6232268190001,-74.1492269729999,2017
"49","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","18-24","F","WHITE HISPANIC",40.7490710490001,-73.8703802429999,2017
"50","CONTROLLED SUBSTANCE,SALE 3","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.725980641,-73.9908014069999,2017
"51","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6944192300001,-73.976052997,2017
"52","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","ASIAN / PACIFIC ISLANDER",40.7143848630001,-73.757786395,2017
"53","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","18-24","M","WHITE HISPANIC",40.765077681,-73.88520777,2017
"54","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","BLACK",40.873671035,-73.9080136489999,2017
"55","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","BLACK",40.836016182,-73.8611293,2017
"56","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","BLACK",40.733883033,-74.0054283109999,2017
"57","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.833388611,-73.910046026,2017
"58","DISORDERLY CONDUCT SUBD 1,2,3,4,5,6,7","DISORDERLY CONDUCT","V","18-24","M","BLACK HISPANIC",40.7622347710001,-73.968188083,2017
"59","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","BLACK HISPANIC",40.6963634690001,-73.9407073799999,2017
"60","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","F","WHITE HISPANIC",40.74985486,-74.001416236,2017
"61","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","25-44","M","BLACK",40.8008808930001,-73.940953807,2017
"62","RAPE 3","RAPE","F","25-44","M","BLACK",40.679700408,-73.776047368,2017
"63","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","F","WHITE HISPANIC",40.755667508,-73.9480467829999,2017
"64","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.6677926090001,-73.9102549309999,2017
"65","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","M","BLACK",40.677605279,-73.82821878,2017
"66","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","18-24","M","BLACK",40.664426491,-73.932924751,2017
"67","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","45-64","M","WHITE",40.7605122800001,-73.942873871,2017
"68","STRANGULATION 1ST","FELONY ASSAULT","F","25-44","M","BLACK",40.6787125390001,-73.8593657819999,2017
"69","RECKLESS ENDANGERMENT 1","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK HISPANIC",40.8631215410001,-73.920613101,2017
"70","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","45-64","M","BLACK",40.816087661,-73.8958243539999,2017
"71","NY STATE LAWS,UNCLASSIFIED MISDEMEANOR","OTHER STATE LAWS (NON PENAL LAW)","M","45-64","M","BLACK",40.6340064230001,-74.097268583,2017
"72","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","18-24","M","BLACK HISPANIC",40.5849559370001,-73.821785832,2017
"73","DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","DANGEROUS DRUGS","M","18-24","F","BLACK",40.647713314,-73.962747151,2017
"74","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY &","M","25-44","F","BLACK HISPANIC",40.8217363320001,-73.8928672599999,2017
"75","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","18-24","M","BLACK",40.792269838,-73.966107982,2017
"76","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","ASIAN / PACIFIC ISLANDER",40.679980738,-73.7762339069999,2017
"77","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","F","BLACK",40.818559244,-73.867683367,2017
"78","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK",40.815673141,-73.887009956,2017
"79","DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","DANGEROUS DRUGS","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.6868342320001,-73.774710915,2017
"80","CONTROLLED SUBSTANCE,SALE 3","DANGEROUS DRUGS","F","45-64","M","WHITE HISPANIC",40.8282361440001,-73.9164993059999,2017
"81","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.6995909980001,-73.9517798589999,2017
"82","IMPERSONATION 1, POLICE OFFICER","MISCELLANEOUS PENAL LAW","F","18-24","M","BLACK",40.757240531,-73.9897936369999,2017
"83","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","WHITE",40.511586338,-74.249303727,2017
"84","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.7650240790001,-73.9848359499999,2017
"85","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.707663223,-73.9398388939999,2017
"86","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.8485383550001,-73.937528327,2017
"87","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","45-64","M","WHITE HISPANIC",40.853587401,-73.9005913559999,2017
"88","NY STATE LAWS,UNCLASSIFIED VIOLATION","OTHER STATE LAWS","V","25-44","M","WHITE HISPANIC",40.7446799050001,-73.8950951419999,2017
"89","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","F","BLACK",40.821248623,-73.909910689,2017
"90","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","WHITE HISPANIC",40.7603925760001,-73.768459128,2017
"91","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE",40.7504307680001,-73.989282176,2017
"92","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","<18","M","WHITE HISPANIC",40.6579930660001,-74.000693446,2017
"93","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","F","WHITE",40.602070698,-74.002691509,2017
"94","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","25-44","M","BLACK",40.691629414,-73.9117770349999,2017
"95","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","45-64","F","BLACK",40.694889376,-73.940412984,2017
"96","MARIJUANA, POSSESSION","MISCELLANEOUS PENAL LAW","V","18-24","M","BLACK",40.7897095380001,-73.9679727229999,2017
"97","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","F","BLACK",40.749780113,-73.987780874,2017
"98","NY STATE LAWS,UNCLASSIFIED FEL","OTHER STATE LAWS","F","45-64","M","BLACK",40.7174328300001,-73.9080958019999,2017
"99","MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","M","18-24","M","BLACK",40.840792611,-73.93719949,2017
"100","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","F","BLACK",40.6107171290001,-73.9209852829999,2017
"101","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.847280191,-73.907334484,2017
"102","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.7063277980001,-74.0128813119999,2017
"103","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK HISPANIC",40.86157703,-73.891241309,2017
"104","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","WHITE HISPANIC",40.8210163100001,-73.90106996,2017
"105","DISORDERLY CONDUCT SUBD 1,2,3,4,5,6,7","DISORDERLY CONDUCT","V","18-24","M","BLACK HISPANIC",40.5755216680001,-73.9823987509999,2017
"106","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","18-24","M","WHITE",40.7729842310001,-73.908567922,2017
"107","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY &","M","18-24","F","BLACK",40.6811259400001,-73.974366823,2017
"108","STOLEN PROPERTY 3,POSSESSION","POSSESSION OF STOLEN PROPERTY 5","M","45-64","M","ASIAN / PACIFIC ISLANDER",40.7795039530001,-73.950566551,2017
"109","MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","M","BLACK",40.854352798,-73.9033808569999,2017
"110","STOLEN PROPERTY 2,1,POSSESSION,UNCLASSIFIED","POSSESSION OF STOLEN PROPERTY","F","25-44","M","WHITE HISPANIC",40.8356478210001,-73.885610014,2017
"111","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","F","WHITE",40.663582224,-73.891286581,2017
"112","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.6063900560001,-73.754710043,2017
"113","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","45-64","M","WHITE HISPANIC",40.8932188730001,-73.859176009,2017
"114","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.7074473640001,-73.792141768,2017
"115","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","18-24","M","WHITE HISPANIC",40.6296064900001,-74.001348832,2017
"116","ASSAULT 2,1,PEACE OFFICER","FELONY ASSAULT","F","18-24","M","BLACK",40.680708312,-73.962771986,2017
"117","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","45-64","M","BLACK",40.8278199010001,-73.925930756,2017
"118","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.810398494,-73.9248953109999,2017
"119","PROSTITUTION, PATRONIZING 4, 3","PROSTITUTION & RELATED OFFENSES","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.746341595,-73.896326791,2017
"120","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","WHITE HISPANIC",40.752412883,-73.9244192909999,2017
"121","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6714116630001,-73.8815117239999,2017
"122","RESISTING ARREST","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","45-64","F","WHITE",40.598828687,-74.165006013,2017
"123","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","WHITE",40.728851375,-73.871216944,2017
"124","NY STATE LAWS,UNCLASSIFIED MISDEMEANOR","OTHER STATE LAWS (NON PENAL LAW)","M","45-64","M","WHITE HISPANIC",40.7688992600001,-73.982094939,2017
"125","ASSAULT 2,1,PEACE OFFICER","FELONY ASSAULT","F","25-44","F","WHITE",40.7665086320001,-73.982362725,2017
"126","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","<18","M","ASIAN / PACIFIC ISLANDER",40.683976068,-73.782836772,2017
"127","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","BLACK",40.852119675,-73.8982367629999,2017
"128","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE",40.756798201,-73.971110787,2017
"129","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","45-64","M","BLACK",40.6706347620001,-73.8955432489999,2017
"130","PROSTITUTION, PATRONIZING 4, 3","PROSTITUTION & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.8697036510001,-73.86722365,2017
"131","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","F","BLACK",40.7561916700001,-73.986256492,2017
"132","SIGNAL,FAIL TO","OTHER TRAFFIC INFRACTION","I","18-24","M","ASIAN / PACIFIC ISLANDER",40.769257302,-73.909110958,2017
"133","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","<18","M","BLACK",40.702482133,-73.799922252,2017
"134","CONTROLLED SUBSTANCE, POSSESSION 4","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.690355863,-73.866261015,2017
"135","ADM.CODE,UNCLASSIFIED VIOLATIO","ADMINISTRATIVE CODE","V","25-44","M","WHITE HISPANIC",40.6897915210001,-73.96519008,2017
"136","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","F","BLACK HISPANIC",40.8648807530001,-73.9025231749999,2017
"137","TAMPERING 1,CRIMINAL","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","M","BLACK",40.8262821320001,-73.920707638,2017
"138","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.8037627840001,-73.9526977199999,2017
"139","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK HISPANIC",40.7238025130001,-73.979069335,2017
"140","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","45-64","M","BLACK",40.576645978,-73.9764803959999,2017
"141","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.7372030990001,-73.983272598,2017
"142","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE",40.5985134390001,-74.002741779,2017
"143","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","F","WHITE HISPANIC",40.696668269,-73.931085571,2017
"144","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","18-24","M","WHITE",40.538540481,-74.192232415,2017
"145","PROSTITUTION","PROSTITUTION & RELATED OFFENSES","M","25-44","F","ASIAN / PACIFIC ISLANDER",40.7525198440001,-73.813400701,2017
"146","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.822298485,-73.9116941309999,2017
"147","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK",40.812290961,-73.90446788,2017
"148","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.668897201,-73.898480256,2017
"149","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","F","BLACK",40.8213029400001,-73.866792719,2017
"150","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","WHITE HISPANIC",40.757240531,-73.9897936369999,2017
"151","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.855802743,-73.843909954,2017
"152","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","WHITE",40.6335380020001,-73.9520113309999,2017
"153","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","BLACK",40.752198698,-73.9934650449999,2017
"154","LEWDNESS,PUBLIC","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","45-64","M","BLACK",40.5923243560001,-73.7579806919999,2017
"155","LARCENY,GRAND FROM PERSON,UNCLASSIFIED","GRAND LARCENY","F","25-44","F","WHITE HISPANIC",40.706290365,-73.950350331,2017
"156","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","BLACK",40.680048726,-73.775909194,2017
"157","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","F","BLACK",40.6934713250001,-73.987243065,2017
"158","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.6862424810001,-73.824176156,2017
"159","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","18-24","M","BLACK",40.7074473640001,-73.792141768,2017
"160","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK HISPANIC",40.7156705730001,-73.9839417439999,2017
"161","TRESPASS 2, CRIMINAL","CRIMINAL TRESPASS","M","25-44","F","BLACK HISPANIC",40.800380481,-73.950789433,2017
"162","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","BLACK",40.687287156,-73.871026785,2017
"163","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.7453013200001,-73.998489317,2017
"164","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.7913692710001,-73.9441872259999,2017
"165","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","45-64","M","WHITE",40.578944834,-73.9852129829999,2017
"166","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE HISPANIC",40.6355605900001,-73.9780233239999,2017
"167","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","25-44","M","WHITE HISPANIC",40.756860977,-73.875656664,2017
"168","CONTROLLED SUBSTANCE, POSSESSION 4","DANGEROUS DRUGS","F","18-24","M","WHITE",40.7878745990001,-73.928181646,2017
"169","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","18-24","M","WHITE HISPANIC",40.8286754580001,-73.943989716,2017
"170","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","M","BLACK HISPANIC",40.8307989140001,-73.826948796,2017
"171","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","BLACK",40.8107999050001,-73.9350567019999,2017
"172","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","45-64","M","BLACK",40.76229871,-73.98610723,2017
"173","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","18-24","M","BLACK",40.7094009530001,-73.797921257,2017
"174","RESISTING ARREST","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.8311291570001,-73.8903732319999,2017
"175","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","BLACK",40.680048726,-73.775909194,2017
"176","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.7320551460001,-74.001415857,2017
"177","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","F","ASIAN / PACIFIC ISLANDER",40.780931566,-73.84145316,2017
"178","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","45-64","M","BLACK",40.67459999,-73.930574822,2017
"179","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.746820464,-73.8917534559999,2017
"180","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK HISPANIC",40.754849215,-73.9841199909999,2017
"181","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","F","BLACK",40.6933920490001,-73.990593143,2017
"182","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.793479151,-73.937258566,2017
"183","STOLEN PROPERTY 2,1,POSSESSION,UNCLASSIFIED","POSSESSION OF STOLEN PROPERTY","F","45-64","M","WHITE HISPANIC",40.71546033,-74.001898881,2017
